,country,date_local,longitude,latitude,rh_average,blh_average,tp_average,e_average,skt_average,sp_average,t2m_average,tcwv_average,ws_average,ndvi_average,elevation,nl,clc,ghaod_average,value
78097,DE,2018-01-01,13.424304000000001,52.349703000000005,74.5137557983398,1507.55895996094,2.43188624153845e-05,-8.55199978104793e-05,280.917846679688,99660.4765625,281.836578369141,9.14962196350098,5.7469782829284695,0.21130000054836298,44.783570000000005,252,1,0.0495700016617775,2.2666666666666697
78189,DE,2018-01-01,11.73846,52.99875,65.6105270385742,1411.06262207031,1.2793976566172198e-05,-4.96290122100618e-05,280.266876220703,99623.3203125,280.9560546875,8.47304153442383,5.70097351074219,0.24499998986720997,25.9193,243,1,0.0591650009155273,2.425
78331,DE,2018-01-01,14.015251999999998,52.563835,74.72203063964841,1437.59704589844,2.84134748653742e-05,-9.529242379358041e-05,280.59930419921903,99488.7890625,281.657012939453,9.17039680480957,6.19811773300171,0.190200001001358,91.18615,51,2,0.0593979991972446,1.8
78470,DE,2018-01-01,13.526796,51.462734000000005,73.846435546875,1448.5349121093802,1.74062279256759e-05,-7.1323782321997e-05,281.033721923828,98952.609375,282.008331298828,9.53916931152344,5.68540287017822,0.242299988865852,94.32692,255,1,0.0573825016617775,2.55
78561,DE,2018-01-01,13.84825,52.48188199999999,75.5575714111328,1458.89599609375,3.04202985716984e-05,-9.30684909690171e-05,280.670135498047,99505.5625,281.695831298828,9.16402912139893,6.0380964279174805,0.19429999589920002,52.27098,228,1,0.0539399981498718,2.4
78654,DE,2018-01-01,8.569405,53.56245500000001,77.3207626342773,1309.68725585938,1.94799085875275e-05,-7.21094911568798e-05,279.059448242188,99683.765625,279.91741943359403,9.72732353210449,7.82686042785645,0.131300002336502,2.8630400000000003,255,1,0.0970349982380867,6.3975
78735,DE,2018-01-01,8.916966,53.060044999999995,72.7027053833008,1292.83923339844,2.6544699721853198e-05,-6.09463058935944e-05,279.84906005859403,99684.7265625,280.432891845703,9.30324840545654,6.61480522155762,0.11019999533891699,11.301639999999999,255,1,0.0584199987351894,6.97
78822,DE,2018-01-01,10.053859,53.592301,74.6886978149414,1324.3623046875,2.6536936275078898e-05,-7.81601193011738e-05,278.987274169922,99493.0234375,280.124755859375,9.09670734405518,6.82692575454712,0.133199989795685,20.001160000000002,255,1,0.0683080032467842,2.0925
78912,DE,2018-01-01,9.990569,53.50793,73.82342529296879,1320.54077148438,2.8673612177954103e-05,-7.55194851080887e-05,279.050384521484,99462.390625,280.14935302734403,9.047624588012699,6.75499057769775,0.158899992704391,7.780382,255,1,0.0777779966592789,5.21
79001,DE,2018-01-01,9.967882000000001,53.56414,74.562141418457,1323.95581054688,2.4954502805485397e-05,-7.6754076872021e-05,279.01531982421903,99525.3515625,280.15838623046903,9.124086380004881,6.8169469833374,0.11699999868869802,19.0476,255,1,0.0711060017347336,6.0325
79025,DE,2018-01-01,10.021227,53.523262,73.9786605834961,1321.0546875,2.76251303148456e-05,-7.62061827117577e-05,279.036529541016,99476.6796875,280.152954101562,9.048929214477539,6.76227569580078,0.0780999958515167,7.91783,255,1,0.0754560008645058,2.36
79115,DE,2018-01-01,9.94458,53.564399,74.5810165405273,1324.10827636719,2.49207605520496e-05,-7.65214790590107e-05,279.02056884765597,99528.546875,280.16009521484403,9.13192272186279,6.81807899475098,0.129799991846085,18.85387,255,1,0.0721160024404526,5.152
79217,DE,2018-01-01,8.668579,50.584108,86.6140518188477,1175.72924804688,4.61915878986474e-05,-8.7405125668738e-05,279.226654052734,97316.5703125,279.794403076172,9.82193470001221,5.65111780166626,0.174400001764297,159.8754,255,1,0.0879900008440018,5.3525
79307,DE,2018-01-01,8.642000000000001,49.643238000000004,77.4365921020508,1221.34375,4.46437079517636e-05,-8.00225825514644e-05,280.618804931641,98436.984375,280.842498779297,9.82607936859131,5.75305986404419,0.17960000038146998,109.4023,255,1,0.0710600018501282,11.9775
79399,DE,2018-01-01,8.769396,50.807018,88.40930938720699,1197.15844726562,6.27720073680393e-05,-8.1869715359062e-05,278.784027099609,96828.3203125,279.292938232422,9.56309795379639,5.6629638671875,0.178899988532066,187.3098,255,1,0.0830449983477592,4.235
79499,DE,2018-01-01,8.928171,51.430896999999995,85.6054382324219,1234.16650390625,7.68316022004001e-05,-7.01666867826134e-05,278.441192626953,96307.5,278.910522460938,9.10521125793457,5.93397665023804,0.332699984312057,323.1031,48,2,0.0548949986696243,1.7225
79587,DE,2018-01-01,8.230316,50.077191,85.96185302734379,1232.61572265625,3.39455909852404e-05,-6.953981210244821e-05,279.995239257812,97696.484375,280.26318359375,10.070744514465302,5.96365594863892,0.10149999707937199,141.6999,255,1,0.0758399963378906,8.19
79741,DE,2018-01-01,9.684854,50.550028000000005,83.9129943847656,1107.50207519531,0.0001390908146277,-8.064167923294009e-05,277.789184570312,95588.390625,278.506561279297,8.75778007507324,5.575250148773191,0.14199998974800102,276.8167,255,1,0.0899849981069565,24.4725
79815,DE,2018-01-01,12.09792,54.17729,72.0941925048828,1315.34912109375,7.02145480317995e-05,-7.59976683184505e-05,278.73394775390597,99487.6171875,279.912811279297,9.0264310836792,9.277914047241211,0.0837999954819679,1.079909,244,4,0.0877249985933304,2.725
79917,DE,2018-01-01,12.175512,53.78175,64.54388427734379,1271.3046875,3.3540713047841604e-05,-7.58662790758535e-05,278.941650390625,99344.6640625,280.34783935546903,8.38966655731201,7.06646728515625,0.22769999504089397,25.018079999999998,248,1,0.0826070010662079,2.4
79973,DE,2018-01-01,12.080003,54.171330000000005,71.8689727783203,1313.70642089844,6.8124987592455e-05,-7.62855561333708e-05,278.733520507812,99484.0625,279.923217773438,9.008172035217289,9.22386360168457,0.22709999978542303,-1.488426,255,1,0.0887949988245964,2.9
80071,DE,2018-01-01,14.257407,53.520456,66.2060546875,1324.08605957031,6.10044071436278e-06,-7.315940456464891e-05,279.931671142578,99635.7265625,281.340911865234,8.810953140258789,7.4071941375732395,0.293699979782104,23.48872,37,2,0.0720970034599304,2.35
80173,DE,2018-01-01,12.064708,53.817775,65.4499053955078,1275.92785644531,3.3509313652757596e-05,-7.67057135817595e-05,278.954833984375,99373.5859375,280.31646728515597,8.45036888122559,7.1655969619751,0.311100006103516,3.463831,63,2,0.0872649997472763,2.275
80275,DE,2018-01-01,12.141994,54.092278,70.0790863037109,1302.03381347656,7.382912008324641e-05,-8.17053150967695e-05,278.820526123047,99457.9609375,280.063598632812,8.85963726043701,8.41529750823975,0.0282999984920025,11.12676,255,1,0.0822900012135506,3.55
80375,DE,2018-01-01,12.099553,54.09262,70.04843139648439,1301.35034179688,6.79060758557171e-05,-8.09769699117169e-05,278.801483154297,99456.6484375,280.053955078125,8.85670280456543,8.49479293823242,0.0471000000834465,15.70416,255,1,0.0791250020265579,3.7
80476,DE,2018-01-01,12.463928999999998,53.396347999999996,61.3607330322266,1289.75170898438,1.3368020518100802e-05,-6.973779818508771e-05,279.113891601562,99110.828125,280.515960693359,8.09497547149658,6.76681280136108,0.330199986696243,109.0221,44,2,0.0644240006804466,1.825
80576,DE,2018-01-01,11.398332,53.63180500000001,67.400749206543,1290.99499511719,2.26770171138924e-05,-7.6942378655076e-05,278.937347412109,99313.7890625,280.18804931640597,8.41909694671631,7.0200080871582005,0.10009999573230699,70.05729000000001,255,1,0.067780002951622,2.35
80673,DE,2018-01-01,9.92833,51.5302,85.2013320922852,1292.37963867188,8.51254008011892e-05,-7.42699703550898e-05,278.92657470703097,97194.875,279.482543945312,9.48495483398438,5.39444637298584,0.14190000295639002,152.8414,255,1,0.0723880007863045,3.1775
80765,DE,2018-01-01,10.455910000000001,52.153690000000005,73.8142852783203,1334.02600097656,6.19777347310446e-05,-6.8973058660049e-05,279.537567138672,98094.078125,280.039276123047,8.93039321899414,6.191741943359379,0.299400001764297,87.99117,198,2,0.0470330007374287,3.135
80854,DE,2018-01-01,7.94257,52.99796,78.8373718261719,1254.9013671875,3.50833579432219e-05,-6.22903826297261e-05,279.847381591797,99632.4375,280.061431884766,9.69125652313232,6.4431357383728,0.36689999699592607,13.02112,86,2,0.112158000469208,5.775
81040,DE,2018-01-01,8.04147,52.2703,77.83409118652341,1200.51086425781,6.60261794109829e-05,-6.36420663795434e-05,279.865478515625,99128.3046875,280.158050537109,9.67405319213867,6.19316816329956,0.186599999666214,73.97965,255,1,0.0912749990820885,2.625
81132,DE,2018-01-01,8.05286,52.255340000000004,77.8931503295898,1200.70874023438,6.761330587323759e-05,-6.44492611172609e-05,279.85186767578097,99122.421875,280.158081054688,9.67892837524414,6.20729637145996,0.17909999191760997,78.6274,255,1,0.0913150012493134,5.3175
